Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Agent Cody Banks 2: Destination London (2004),https://www.imdb.com/title/tt0108656/,4.6,32,100,$26000000,8014005,23630159,28818995,12 March 2004,PG,Action Adventure Comedy,USA
101 Dalmatians (1996),https://www.imdb.com/title/tt0108656/,5.7,49,103,$75000000,33504025,136189294,320689294,27 November 1996,G,Adventure Comedy Crime,USA
102 Dalmatians (2000),https://www.imdb.com/title/tt0108656/,4.9,35,100,$85000000,19883351,66957026,183611771,22 November 2000,G,Adventure Comedy Family,USA
Anchorman: The Legend of Ron Burgundy (2004),https://www.imdb.com/title/tt0108656/,7.2,63,94,$26000000,28416365,85288303,90649730,9 July 2004,PG-13,Comedy,USA
Anchorman 2: The Legend Continues (2013),https://www.imdb.com/title/tt0108656/,6.3,61,119,$50000000,26232425,127352707,173649931,18 December 2013,PG-13,Comedy,USA
Lung hing foo dai (1986),https://www.imdb.com/title/tt0108656/,7.1,None,88,$15000000,None,None,None,21 January 1987 (Hong,R,Action Adventure Comedy,Hong Kong
Operation Condor (1991),https://www.imdb.com/title/tt0108656/,7.3,None,106,HKD115000000,4731751,10405394,10405394,18 July 1997,PG-13,Action Adventure Comedy,Hong Kong
Sap ji sang ciu (2012),https://www.imdb.com/title/tt0108656/,6.1,29,123,None,None,None,171339013,18 October 2013,PG-13,Action Adventure Comedy,Hong Kong
Police Story (1985),https://www.imdb.com/title/tt0108656/,7.6,78,100,None,25591,113164,113164,14 December 1985 (Hong,PG-13,Action Comedy Crime,Hong Kong
Police Story 2 (1988),https://www.imdb.com/title/tt0108656/,7.1,68,101,None,None,None,None,20 August 1988 (Hong,PG-13,Action Comedy Crime,Hong Kong
Supercop (1992),https://www.imdb.com/title/tt0108656/,6.9,None,96,$900000,5503176,16270600,16270600,26 July 1996,R,Action Comedy Crime,Hong Kong
Supercop 2 (1993),https://www.imdb.com/title/tt0108656/,6.1,None,104,None,None,None,None,21 October 1993 (Hong,R,Action Comedy Crime,Hong Kong
First Strike (1996),https://www.imdb.com/title/tt0108656/,6.6,None,107,None,5778933,15318863,21890845,10 January 1997,PG-13,Action Adventure Comedy,Hong Kong
New Police Story (2004),https://www.imdb.com/title/tt0108656/,7.0,None,123,HKD80000000,None,None,8712057,24 September 2004 (Hong,R,Action Crime Drama,Hong Kong
Police Story: Lockdown (2013),https://www.imdb.com/title/tt0108656/,6.1,44,110,None,None,None,94249025,5 June 2015,Not Rated,Action Adventure Crime,China
Before Sunrise (1995),https://www.imdb.com/title/tt0108656/,8.1,77,101,$2500000,1423537,5535405,5986708,27 January 1995,R,Drama Romance,USA
