Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Mechanic: Resurrection,http://www.imdb.com/title/tt3522806/,2016,5.7,38,R,Action Adventure Thriller,98
Ted,http://www.imdb.com/title/tt1637725/,2012,6.9,62,R,Comedy,106
Ted 2,http://www.imdb.com/title/tt2637276/,2015,6.3,48,R,Comedy,115
Poltergeist,http://www.imdb.com/title/tt0084516/,1982,7.3,79,PG,Horror Thriller,114
Poltergeist II: The Other Side,http://www.imdb.com/title/tt0091778/,1986,5.7,49,PG-13,Horror,91
Poltergeist III,http://www.imdb.com/title/tt0095889/,1988,4.7,40,PG-13,Horror Thriller,98
Clerks,http://www.imdb.com/title/tt0109445/,1994,7.7,70,R,Comedy,92
Clerks II,http://www.imdb.com/title/tt0424345/,2006,7.3,65,R,Comedy,97
The Raid: Redemption,http://www.imdb.com/title/tt1899353/,2011,7.6,73,R,Action Thriller,101
The Raid 2,http://www.imdb.com/title/tt2265171/,2014,8,71,R,Action Crime Thriller,150
Cat People,http://www.imdb.com/title/tt0034587/,1942,7.3,None,Not Rated,Fantasy Horror Thriller,73
The Curse of the Cat People,http://www.imdb.com/title/tt0036733/,1944,6.9,None,Passed,Drama Horror Mystery,70
The Hobbit: An Unexpected Journey,http://www.imdb.com/title/tt0903624/,2012,7.8,58,PG-13,Adventure Family Fantasy,169
The Hobbit: The Desolation of Smaug,http://www.imdb.com/title/tt1170358/,2013,7.8,66,PG-13,Adventure Fantasy,161
The Hobbit: The Battle of the Five Armies,http://www.imdb.com/title/tt2310332/,2014,7.4,59,PG-13,Adventure Fantasy,144
Wall Street,http://www.imdb.com/title/tt0094291/,1987,7.4,56,R,Crime Drama,126
Wall Street: Money Never Sleeps,http://www.imdb.com/title/tt1027718/,2010,6.2,59,PG-13,Drama,133
A Fistful of Dollars,http://www.imdb.com/title/tt0058461/,1964,8,65,R,Action Drama Western,99
For a Few Dollars More,http://www.imdb.com/title/tt0059578/,1965,8.3,74,R,Western,132
"The Good, the Bad and the Ugly",http://www.imdb.com/title/tt0060196/,1966,8.8,90,R,Western,178
Young Guns,http://www.imdb.com/title/tt0096487/,1988,6.9,50,R,Action Western,107
Young Guns II,http://www.imdb.com/title/tt0100994/,1990,6.5,47,PG-13,Action Western,104
Finding Nemo,http://www.imdb.com/title/tt0266543/,2003,8.1,90,G,Animation Adventure Comedy,100
